model,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.8435754189944135,0.8059701492537313,0.782608695652174,0.7941176470588235,0.8704874835309617
random_forest,0.8100558659217877,0.7966101694915254,0.6811594202898551,0.734375,0.8542160737812913
gradient_boosting,0.8156424581005587,0.8103448275862069,0.6811594202898551,0.7401574803149606,0.8444005270092226
svm,0.6256983240223464,0.5333333333333333,0.2318840579710145,0.32323232323232326,0.7119235836627141
