,Baseline,Tuned,Amélioration
accuracy,0.8435754189944135,0.8435754189944135,0.0
precision,0.8059701492537313,0.8059701492537313,0.0
recall,0.782608695652174,0.782608695652174,0.0
f1,0.7941176470588235,0.7941176470588235,0.0
roc_auc,0.8704874835309617,0.8704874835309617,0.0
